text,label
Suspicious transaction made using my bank details.,Financial Fraud
Being harassed online by a bully.,Cyberbullying
My account was hacked and inappropriate content was posted.,Social Media Account Hacked
Suspicious transaction made using my bank details.,Financial Fraud
Phishing scam targeted my online account.,Phishing
My account was hacked and inappropriate content was posted.,Social Media Account Hacked
My computer is infected with a virus.,Malware
Someone used my personal information to open a new credit account.,Identity Theft
Online seller disappeared after taking my payment.,Online Shopping Scam
Received a ransomware email demanding payment in Bitcoin.,Ransomware
Online shopping scam tricked me into paying.,Online Shopping Scam
Online shopping scam tricked me into paying.,Online Shopping Scam
My Twitter account was compromised and used to send out fake messages.,Social Media Account Hacked
Social engineering attack led to data breach.,Social Engineering
Suspicious software was downloaded onto my device.,Malware
Received threatening messages from an anonymous account.,Cyberbullying
A ransom note appeared on my computer screen.,Ransomware
Online seller disappeared after taking my payment.,Online Shopping Scam
Email scam tried to steal my personal information.,Phishing
Phone scam tried to trick me into revealing sensitive information.,Vishing
Threatened to leak personal photos unless I pay.,Blackmailing
Suspicious software was downloaded onto my device.,Malware
Vishing attempt tried to steal my identity over the phone.,Vishing
My account was hacked and inappropriate content was posted.,Social Media Account Hacked
My files were corrupted by malware.,Malware
Blackmailer demands money to keep my secrets safe.,Blackmailing
Someone is impersonating me online.,Identity Theft
My Facebook account was hacked and used to send spam.,Social Media Account Hacked
My account was hacked and inappropriate content was posted.,Social Media Account Hacked
Fraudulent charges made using my identity.,Identity Theft
Files on my computer are encrypted and inaccessible.,Ransomware
Someone is impersonating me online.,Identity Theft
Scammer called me pretending to be tech support.,Vishing
Fake online store charged me but didn't deliver.,Online Shopping Scam
Suspicious transaction made using my bank details.,Financial Fraud
Fake website mimicking my bank's login page.,Phishing
My Twitter account was compromised and used to send out fake messages.,Social Media Account Hacked
My Facebook account was hacked and used to send spam.,Social Media Account Hacked
Received a blackmail letter demanding payment.,Blackmailing
Social engineering tricked me into sharing my password.,Social Engineering
Phony call convinced me to reveal sensitive data.,Social Engineering
Social engineering tricked me into sharing my password.,Social Engineering
Online shopping scam tricked me into paying.,Online Shopping Scam
Someone used my personal information to open a new credit account.,Identity Theft
Suspicious transaction made using my bank details.,Financial Fraud
Paid for an item online but never received it.,Online Shopping Scam
Fake online store charged me but didn't deliver.,Online Shopping Scam
Vishing call asked for my credit card number.,Vishing
Antivirus detected multiple malware threats.,Malware
Received a call claiming to be from my bank asking for personal details.,Vishing
Scammer called me pretending to be tech support.,Vishing
My files were corrupted by malware.,Malware
Someone tried to access my bank account online.,Financial Fraud
My computer is infected with a virus.,Malware
